"","abbrv","actors","type","foreign","coalition","territory","terrcons","geospr","relgeoprs","milstrdiv","relmilstr","years","battles","grpfight","hostindex"
"132","SaHB","Salman al Hazm Brigades",3,1,0,0,0,1,0.059,5,0.009,2,5,5,1
"78","AaHCM","Awlad al Habashi Clan Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"17","AaTTM","Al at Tali Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"70","AlWarTM","Al Warawirah Tribal Militia",4,0,0,0,0,1,0.059,3,0.005,1,3,3,1
"69","AlUkTM","Al Ukad Tribal Militia",4,0,0,0,0,1,0.059,2,0.003,2,2,2,1
"4","AlAbbTM","Al Abbaysah Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"46","AlMarTM","Al Marghami Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"124","QahTM","Qahtani Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"110","KhaTM","Khalil Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"10","AlAhTM","Al Ahmad Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"21","AlBalTM","Al Balaid Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"107","HujTM","Hujur Tribal Militia",4,1,0,1,1,1,0.059,30,0.052,1,30,30,1
"130","SaTM","Sadah Tribal Militia",4,0,0,0,0,3,0.176,1,0.002,2,3,3,1
"68","AlUdTM","Al Udhr Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"54","AlMufTM","Al Muftah Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"25","AlHatTM","Al Hattam Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"88","BaaATM","Bayt al Asnaj Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"41","AlMaaTM","Al Maazib Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"97","GiB","Giants Brigade",3,1,0,1,0,5,0.294,113.4,0.195,3,567,545,0.961
"85","BaniSaTM","Bani Saad Tribal Militia",4,0,0,0,0,2,0.118,1,0.002,2,2,2,1
"20","AlAzTM","Al Azzan Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"51","AlMilTM","Al Milah Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"75","AsSiCM","As Silah Communal Militia",4,0,0,0,0,1,0.059,15,0.026,1,15,15,1
"84","BanKTM","Bani Khawlah Tribal Militia",4,0,0,0,0,1,0.059,1,0.002,1,1,1,1
"129","RiTM","Riyam Tribal Militia",4,0,0,0,0,1,0.059,3,0.005,3,3,2,0.667
